id,track_name,artist_id,artist_name,album_id,album_name,release_date,duration,uri,playlist_offset
5avlFwDzrwX8CsaQhV48Pk,Liar,7m63GptZSke3jGqCxR4rom,Brutus,1z2giKWclhg42asnKXqQ25,Liar,2022-07-28,202.871,spotify:track:5avlFwDzrwX8CsaQhV48Pk,128
6sSsHJYK1XRwFB0tLPVqmr,Strix,05C3EDw4Rf0qMhrdjFKncL,Fucked Up,5LMUkxYGYSSLcysFf9XKTL,Strix,2022-07-26,275.737,spotify:track:6sSsHJYK1XRwFB0tLPVqmr,129
0g2kZvRKJ2AZfUmqR6eCGZ,Ann,0mL6LBSQ4bHe6hWq90KzHL,Tropical Fuck Storm,1TKU3jbLcpXbTx9OqjGejM,Ann,2022-07-27,244.877,spotify:track:0g2kZvRKJ2AZfUmqR6eCGZ,130
5jCW9BOUz7BLeYAzRGvVbc,Embattled,2qD61usRMV5pB6jAbSSXxi,Ripper,1R8SKK7esV5NenpImiTzdg,Embattled,2022-07-29,191.226,spotify:track:5jCW9BOUz7BLeYAzRGvVbc,131
0o8Xw4191deB1avQuTks6O,Lonesome Preacher,1GSmsJITQDQPCWswHKyjJp,Sons of Arrakis,4r6EUDKBUKy16sK4osdZmZ,Volume I,2022-07-15,313.875,spotify:track:0o8Xw4191deB1avQuTks6O,132
3DuLPXGfitlDkbeih34CI2,Gears of Violent Endurance,1U01xfNaiw3TkOeyGKXwi1,Dreadnought,6cO4sH08XZouZ6L3wrKFtr,Gears of Violent Endurance,2022-07-27,369.786,spotify:track:3DuLPXGfitlDkbeih34CI2,133
6djR6pKy0D2EKluq4zCbHf,Think I Am,5vM2PNB3LjGceAKYvN3KI8,SPACED,3JcTBkIo5IvXcynwij8AOt,Spaced Jams,2022-07-22,118.213,spotify:track:6djR6pKy0D2EKluq4zCbHf,134
6VfUPVXnhF0OQSbcKbna4Z,War Above Los Angeles,4fY9hRf8gHMOszNWFhR1wB,OFF!,1zgoklkeNAjPJi7wPcA5qu,War Above Los Angeles,2022-07-27,175.453,spotify:track:6VfUPVXnhF0OQSbcKbna4Z,135
0dxoTbrd3XuSYBKNDT9FWI,Bright Eyes,0qsMpawuC9W6kQlbu1mbo1,Frayle,2FJDelA9y7OpzEACstgX1v,Bright Eyes,2022-07-29,277.379,spotify:track:0dxoTbrd3XuSYBKNDT9FWI,136
35KDYn5hQI4xuTvCJ5ZrdY,Heavy Skies,0qFMmMruAlPCHzJWAvOptL,Formation Ritual,79fKcr1vV7kkenb19l3mlT,Heavy Skies,2022-06-24,226.613,spotify:track:35KDYn5hQI4xuTvCJ5ZrdY,137
5khT8kcxP7OAvjCEWXkQs3,Stoneclad,1ayXXjKQpR8mVckS8Ym35I,Ketha,54SeUAaJcjgPJzDDUH6rxd,Stoneclad,2022-05-24,332.629,spotify:track:5khT8kcxP7OAvjCEWXkQs3,138
6S2dpuw8sh5DFongRQauUi,Live to Suffer,4x8y8i7a2jC5QVtNGTRn9i,Early Moods,5kxOks7J5KpSTCEv7afrYd,Early Moods,2022-08-05,264.28,spotify:track:6S2dpuw8sh5DFongRQauUi,139
1cBB1DDdDwwKkORtJKCCbO,Sunday Morning Ceremony,2e1J5JQpROgSuT7RcsUbZ2,Wailin' Storms,0ogDvvsaHX1aOsNn7Rl0w6,The Silver Snake Unfolds,2022-07-22,290.276,spotify:track:1cBB1DDdDwwKkORtJKCCbO,140
1fob4CISofwxucGAjaXI14,Give It Up,3tn79LMMIdIT1T0TXumjaH,King's X,2JfYe3kVt5Q9euIFJOvAUx,Give It Up,2022-07-27,179.959,spotify:track:1fob4CISofwxucGAjaXI14,141
2ZC3hCQz3DLNpP2Dymo9U3,Tainted Blood,7M4PCSo5DDasGginrPHSDd,H.E.A.T,2EoVauMgKuvpjypctFDivM,Force Majeure,2022-08-05,229.84,spotify:track:2ZC3hCQz3DLNpP2Dymo9U3,142
2vJ6U9JVqYf59yaAyS25z9,Blackfire,0fpuZdOJCzqm7Vyg9eUzjO,Raptore,394YUCEdUPkwgiDVXBVYRj,Blackfire,2022-07-29,264.928,spotify:track:2vJ6U9JVqYf59yaAyS25z9,143
2pkCq8RDS0QxLJt07jl2gc,Vaster Empires,2i1pwiHsoPzbnD74nnRZ2T,Savage Master,7KkyNfJqxOgzxCfmzYuLhi,Those Who Hunt At Night,2022-08-05,215.956,spotify:track:2pkCq8RDS0QxLJt07jl2gc,144
0pPNiIxCIqVexxmHBWHT23,The Quest and the Curse,6pIRdCtSE5hLFfIfcTAicI,Delain,3YRZ0mvJUhVAzVFMkSpV9b,The Quest and the Curse,2022-08-09,297.244,spotify:track:0pPNiIxCIqVexxmHBWHT23,145
5zZWLKQAkvLdjcP6pGR5d2,Medieval Cowboys,6hwtkhYiDooPPfKqzumCkb,Hell Fire,4FUe9n7JVXnQVqhuDHsYgo,Medieval Cowboys,2022-06-21,201.573,spotify:track:5zZWLKQAkvLdjcP6pGR5d2,146
14heMNFF7hWAnsNf0EcD71,La Tolvanera,6XIJivrO9KEaxh6bKai91s,Psychlona,2Sxxb6sfKnhOA35w5UNBrj,La Tolvanera,2022-08-02,329.693,spotify:track:14heMNFF7hWAnsNf0EcD71,147
2t5NYzZgq3cf7ck9Eg51ZQ,Handshake with Hell,0DCw6lHkzh9t7f8Hb4Z0Sx,Arch Enemy,0NGaiN3rXHa54qJwqzLJLV,Handshake with Hell,2022-02-04,338.96,spotify:track:2t5NYzZgq3cf7ck9Eg51ZQ,148
5a6VEGwYR8xM6daWuhml9j,Church Burns,6yCjbLFZ9qAnWfsy9ujm5Y,Zeal & Ardor,6Ox5BbUgNycErk1kekWaMB,Church Burns,2022-01-20,183.773,spotify:track:5a6VEGwYR8xM6daWuhml9j,149
5MIHYD2WUOjCNkqOzB7Vi0,Fall From Grace,6yv0Vd63iiAaW4665Cs9vT,Higher Power,5hdLUzCRY0TJ9tEzVWtjuG,Fall From Grace,2021-12-17,228.451,spotify:track:5MIHYD2WUOjCNkqOzB7Vi0,150
1Lj81yk8FI4ahCBCbRYf4M,Slowly Separate,5LFuHlM7fW3xnIyBsDrGfn,Crows,1V4Jy2vEzGQwwJ9D34kJsr,Room 156,2022-02-10,221.12,spotify:track:1Lj81yk8FI4ahCBCbRYf4M,151
27JXhyUWlOqreoGDD8u0sI,Polluted Temples,2xUmefxyMwfA7zH0Y3oBst,Dark Meditation,1ec2PjIHwKJx9ThhNPa8En,Polluted Temples,2022-01-28,248.626,spotify:track:27JXhyUWlOqreoGDD8u0sI,152
5ilGBMPBIcUZVK7rwHzf9j,Free from My Vessel,2kURoJKCJq9pF8gq7MItQd,Ritual Earth,2ZHALAvuXiCb2oaBJPllna,Free from My Vessel,2022-01-14,285.895,spotify:track:5ilGBMPBIcUZVK7rwHzf9j,153
6vFfPWSiPns5fKsXQ62wiR,Dark Horse,6vFinMN4E9leUfcEyIIO0D,Messa,3YL5TZyHgh1NJ7KnhjlEnz,Dark Horse,2022-01-14,448.773,spotify:track:6vFfPWSiPns5fKsXQ62wiR,154
7B9sLxD2PgVhabAxGqC2wE,The Harvest,144tOsApwFr8IORHSxLqLq,Mammoth Weed Wizard Bastard,6qDMrkGfXFewoeTQqvqLDn,The Harvest,2022-01-20,550.233,spotify:track:7B9sLxD2PgVhabAxGqC2wE,155
7b5vWEPwabOfDTnBxBsVM0,Someday I Will Bask in the Sun,7oTWrSAsrqQnBE1LRUBZPE,SRSQ,4YP6eoAWSwOKmTngAAj2iS,Someday I Will Bask in the Sun,2022-01-12,252.389,spotify:track:7b5vWEPwabOfDTnBxBsVM0,156
2qlBuPhhaeO1QIAyPjwtrU,Big Moon Lake,2NWimAynlyqVUWD4YnJHlC,LIFE,2upoEnydOlq3ZKPTLIqRrX,Big Moon Lake,2022-03-01,194.986,spotify:track:2qlBuPhhaeO1QIAyPjwtrU,157
70cEInvJETiTqFyC07xCQW,Big Feeling,0fZw5PbTBlsdSwOOWi0seo,Crescent Ridge,2qt4S4ux0WxstDmKArDJEG,Big Feeling,2022-04-20,176.005,spotify:track:70cEInvJETiTqFyC07xCQW,158
5KhJLkUtizEL6wsWqLgh8t,Hell For Leather,7Bx9VStBpX6LTNVU67dI0d,Future Suck,0ZJEQQOuuTCPHOMqiRl4N1,Simulation,2022-08-05,119.217,spotify:track:5KhJLkUtizEL6wsWqLgh8t,159
5GbyW6BfkDFasyyZlLgsL7,Edge of the Knife,5rASExwQQilVMuKmaOV2eW,Sumerlands,7cfG0Vsp7igYjX0fkl7n89,Edge of the Knife,2022-08-11,251.383,spotify:track:5GbyW6BfkDFasyyZlLgsL7,160
7bAfzSdY9tDQsQwo2FbLOz,Nylon Nights,0X41IVISCoYgYWT2PsfqoC,SONJA,3UHwckTPMq6RvHwJcEDRHe,Nylon Nights,2022-08-12,274.573,spotify:track:7bAfzSdY9tDQsQwo2FbLOz,161
3fD70CkCeR4i6zX87iiZbe,You're so Hideous,6Cvzf33JDzCIw2eJU8npQo,Wednesday 13,3nLPmnIpHWJeL2tMGwffOb,You're so Hideous,2022-08-10,187.303,spotify:track:3fD70CkCeR4i6zX87iiZbe,162
3QVMW5G9ieQrPdqWa5wKu7,Curse the Light,4x8y8i7a2jC5QVtNGTRn9i,Early Moods,5kxOks7J5KpSTCEv7afrYd,Early Moods,2022-08-05,318.918,spotify:track:3QVMW5G9ieQrPdqWa5wKu7,163
4MGodLomc6dfUYl4yq1AOX,Complete Obliteration,1GSmsJITQDQPCWswHKyjJp,Sons of Arrakis,4r6EUDKBUKy16sK4osdZmZ,Volume I,2022-07-15,241.758,spotify:track:4MGodLomc6dfUYl4yq1AOX,164
1PZnKVtZY47hMtJlr88QzY,Hypnotize Yourself,6VDAPUov4yNDHyQlPqrpNH,The Dead Daisies,0YMUX56lgGtAgguri0CNyJ,Hypnotize Yourself,2022-08-05,229.383,spotify:track:1PZnKVtZY47hMtJlr88QzY,165
7wwFeAgaC2pGqJaTuCVFAw,The Watcher,0DCw6lHkzh9t7f8Hb4Z0Sx,Arch Enemy,0UWT0SwOzXkR9IVbz0GNuo,Deceivers,2022-08-12,298.0,spotify:track:7wwFeAgaC2pGqJaTuCVFAw,166
235JgEE02sQBj3H0XewMxM,Toke Wizard,7KwTOgmCktKmZoWfe3vUsF,Telekinetic Yeti,0WLSGFPnaW8nXyHmi8PhIq,Primordial,2022-07-08,279.754,spotify:track:235JgEE02sQBj3H0XewMxM,167
7ztz37uMYOqUbYDVo0TdVw,Animalistic,7JGoXMYBPyLNwcQwc2N2Tu,Nordic Union,0Ebk9fi0BBtqKbMwQpG61n,Animalistic,2022-08-12,260.359,spotify:track:7ztz37uMYOqUbYDVo0TdVw,168
2HBwuI4x68gn2DFmkXlhMb,Gimme the Power,4m8VJIWL1kqD6AUfp3XWNB,Beverly Crusher,69S1IwQcBDQD5wAUKctlvX,Waste of Waves,2022-08-12,199.9,spotify:track:2HBwuI4x68gn2DFmkXlhMb,169
0hr3HFFGpKl6qceHkgjQpT,Escape,5sW5eR9g4kNibasfrlw4EN,Spirit Adrift,2ZcnlqVOsNIFTgzomaK2EJ,20 Centuries Gone,2022-08-19,268.613,spotify:track:0hr3HFFGpKl6qceHkgjQpT,170
0DV3MCoDu2VwidCvp1t6R3,Gimme Some Truth,4us4NMG5wuqdUZvthZrj0Q,Militarie Gun,3E0oXQ0iTRJBffq81PEWDs,Gimme Some Truth,2022-07-26,215.768,spotify:track:0DV3MCoDu2VwidCvp1t6R3,171
52reYrkR8j0HF5HKe6GaXw,Hollow,5sW5eR9g4kNibasfrlw4EN,Spirit Adrift,2ZcnlqVOsNIFTgzomaK2EJ,20 Centuries Gone,2022-08-19,355.28,spotify:track:52reYrkR8j0HF5HKe6GaXw,172
3LAbGPrmPzai9ksrmwc880,Death,0fpuZdOJCzqm7Vyg9eUzjO,Raptore,394YUCEdUPkwgiDVXBVYRj,Blackfire,2022-07-29,253.857,spotify:track:3LAbGPrmPzai9ksrmwc880,173
67ZMRuhQGKyEx0Kd517Wu9,Hunt at Night,2i1pwiHsoPzbnD74nnRZ2T,Savage Master,7KkyNfJqxOgzxCfmzYuLhi,Those Who Hunt At Night,2022-08-05,205.85,spotify:track:67ZMRuhQGKyEx0Kd517Wu9,174
3MDxdwZFpIOhcj5xz9IdYB,Heart Reformer,5o7MNRaQrt87SwYWxHEZvN,Dead Cross,7g2py2rFYTqlfFJ6n4jDBf,Heart Reformer,2022-08-24,206.346,spotify:track:3MDxdwZFpIOhcj5xz9IdYB,175
0DfUFmR3IAi6qqXyStk0y9,Kingdom,2HmtB6wVRRi3z0JwZHtkiD,Enslaved,0YWKSnXJ6VUlc0rCGdfmZW,Kingdom,2022-08-25,351.88,spotify:track:0DfUFmR3IAi6qqXyStk0y9,176
5TP4WploHY4P35bEMLTjCy,Future Imperfect,5mAMrrslgx4pi9PetOcGHg,Judy and the Jerks,3Np3la61I32SP5CutgxXd2,Music to Go Nuts,2022-08-01,136.876,spotify:track:5TP4WploHY4P35bEMLTjCy,177
24yldSMrr0gf7P3VOHMrrj,Tiger's Pit,29Wmfm1CojrjQ3aQP0FI65,All Them Witches,3hD6RVyoklbju3N8HTND4t,Tiger's Pit,2022-08-26,295.626,spotify:track:24yldSMrr0gf7P3VOHMrrj,178
4eB3zRK5tIQj8obRT2ux2c,Words Fail,2Tl7uZui4u9a3nXUM9VMei,Mindforce,5vKiKQXUrAudV0tY61l8G7,Words Fail,2022-08-22,96.573,spotify:track:4eB3zRK5tIQj8obRT2ux2c,179
3uQfJFttWdYibgYPVisTr1,Coming of the Tide,0qFMmMruAlPCHzJWAvOptL,Formation Ritual,30lbyvPe6GwY8xvtXfN3Ga,The Shifting Dust,2022-07-08,299.813,spotify:track:3uQfJFttWdYibgYPVisTr1,180
0w0GXcmgDZHYiTcd0HqXSy,Welcome to the Jungle,45MvWoWLKlKglPHeKiVlJY,Edge Of Paradise,0JnizBXe67mqWIW3Sg1bH5,Welcome to the Jungle,2022-08-22,274.921,spotify:track:0w0GXcmgDZHYiTcd0HqXSy,181
15oDg74UjY87Od4kR60Ah9,Bent Rib,2MUKaa8eaR56ajPImoyy3x,Draagyn,7Map1emBBnHQF5U9Ye80iJ,Bent Rib,2022-08-26,261.812,spotify:track:15oDg74UjY87Od4kR60Ah9,182
3eXKOoKn5YdG9FZ6uXd3Ef,Moonpeople,6uejjWIOshliv2Ho0OJAQN,Devin Townsend,23q77vjYHFB3PVUVvX0CXc,Moonpeople,2022-08-26,283.987,spotify:track:3eXKOoKn5YdG9FZ6uXd3Ef,183
2HZLXBOnaSRhXStMLrq9fD,Mary On A Cross,1Qp56T7n950O3EGMsSl81D,Ghost,6eOWfFjfBPRsAW0ZS4sbaF,Seven Inches Of Satanic Panic,2019-09-13,244.804,spotify:track:2HZLXBOnaSRhXStMLrq9fD,184
12OIy70245yWU0r2cqkNWm,Waiting for an Alibi,5sW5eR9g4kNibasfrlw4EN,Spirit Adrift,2ZcnlqVOsNIFTgzomaK2EJ,20 Centuries Gone,2022-08-19,210.573,spotify:track:12OIy70245yWU0r2cqkNWm,185
18np3mLcrafFVaydqTNRAV,Sì-XIV,1isrot4GGRmnqFT2vMAa5q,Dvne,4rqMk0bj9vhmLSgrpQ0fTY,Etemen Ænka,2021-03-19,382.866,spotify:track:18np3mLcrafFVaydqTNRAV,186
5I8sG9fzdJMAm4e3B0rxDL,Coil,7kHzfxMLtVHHb523s43rY1,Converge,4rEDzWnp2RoNzSx8DjO7gY,Bloodmoon: I,2021-11-19,368.453,spotify:track:5I8sG9fzdJMAm4e3B0rxDL,187
4UGZZDdrDxWTRrJJJNzCaQ,Celestial Blues,4C20AUsp5T2VNHmzSTSzYn,King Woman,3OKcePcXMmswbp5BOKIMWH,Celestial Blues,2021-07-30,276.54,spotify:track:4UGZZDdrDxWTRrJJJNzCaQ,188
2rX97r2QjIXxHYjLAcGpSZ,The Beachland Ballroom,75mafsNqNE1WSEVxIKuY5C,IDLES,27ygqCfb4dXQ3jyXnC58FU,CRAWLER,2021-11-12,240.973,spotify:track:2rX97r2QjIXxHYjLAcGpSZ,189
6VT4rMVsZ1yBYw5adzGCrI,And Shine On,6FMByiXYyVWCsnfRz08wO3,Grayceon,7DUsXt54xkqHd1rLUboMDS,Mothers Weavers Vultures,2020-12-18,227.538,spotify:track:6VT4rMVsZ1yBYw5adzGCrI,190
4GEzRvnkS7dSevPoXrYXyg,Erase,6yCjbLFZ9qAnWfsy9ujm5Y,Zeal & Ardor,4b0VXZTRkHPyFWZVcEqt1k,Golden Liar,2021-12-01,241.96,spotify:track:4GEzRvnkS7dSevPoXrYXyg,191
47RRcu032tugUTX8i6OGlt,Sickle and Peace,1Dvfqq39HxvCJ3GvfeIFuT,Mastodon,5xnZl7sdxxIb4rkDcbD4IC,Hushed and Grim,2021-10-29,377.695,spotify:track:47RRcu032tugUTX8i6OGlt,192
0IANYzXsQO9wAzpbNucI49,No Song,1fPlNcA88PnTHeLk7k57UJ,Maggot Heart,5GGKI0xaMNToz0idJ6Vyw8,Maggot Heart & Okkultokrati,2021-09-24,419.445,spotify:track:0IANYzXsQO9wAzpbNucI49,193
0svFlmFdw4sxlJzsLTXeTo,Pushing the Tides,1Dvfqq39HxvCJ3GvfeIFuT,Mastodon,5xnZl7sdxxIb4rkDcbD4IC,Hushed and Grim,2021-10-29,209.932,spotify:track:0svFlmFdw4sxlJzsLTXeTo,194
0cMXOqMpNtcPCqe2Q7Yp0b,Brighten,5HUFo8AH9ZILmlyKFfEMNP,Jerry Cantrell,4G14ImdbfLm9adBZfNuMjg,Brighten,2021-10-29,285.842,spotify:track:0cMXOqMpNtcPCqe2Q7Yp0b,195
