id,track_name,artist_ids,artist_names,album_id,album_name,release_date,duration,uri,playlist_offset,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
4Rrj1QxDqsj28gv9SiHQRA,Out of Time - KAYTRANADA Remix,"1Xyo4u8uXC1ZmMpatF05PJ,6qgnBH6iDM91ipVXv28OMu","The Weeknd,KAYTRANADA",6LuY3APmuxui8BM2oibkrZ,Out Of Time (Remix Bundle),2022-04-22,275.555,spotify:track:4Rrj1QxDqsj28gv9SiHQRA,2512,0.0962,0.742,0.599,0.000578,0.0981,-8.796,0.297,108.283,0.573
6ClwUFcqxZa8mIWT4avC5L,Outside Air,62Xs9S1gahH6vGEJ24qdkK,Young Prisms,0rsZPMbeg2ujKLsqxkHzsH,Outside Air,2022-03-15,231.332,spotify:track:6ClwUFcqxZa8mIWT4avC5L,2513,0.155,0.403,0.811,0.972,0.456,-4.897,0.0289,94.031,0.67
4BnWMQGEo96ZhkUI14N2Nw,Out To Pasture,2kMzxA8edU05hvMFU493zJ,Good Morning,31WgtTOZqC4qi3SYUfakBA,Out To Pasture / Misery,2022-03-23,155.5,spotify:track:4BnWMQGEo96ZhkUI14N2Nw,2514,0.724,0.614,0.37,0.84,0.145,-10.993,0.0301,81.105,0.65
43GhjzAAnwmYtbOBqAjpb3,Going Down,6YLWRVTViX4bm2mGxRy9XN,Breathe Atlantis,2FMleFsxXqydAJMgf01680,Overdrive,2022-03-18,239.413,spotify:track:43GhjzAAnwmYtbOBqAjpb3,2515,2.9e-05,0.467,0.799,0.0,0.119,-7.381,0.0704,144.99,0.304
4N7F0yJ3IqPJbsqB3z0huv,Övergivenheten - Single Edit,7wqP36o9lqWteOCxBnXlwx,Soilwork,0m5Myw8279H3fmmhSd5XdT,Övergivenheten,2022-05-13,232.106,spotify:track:4N7F0yJ3IqPJbsqB3z0huv,2516,3.91e-05,0.415,0.995,0.00132,0.35,-3.881,0.0806,76.493,0.151
0zagWhsB5HusIq4g4UeA9A,Popular Delusions,0VpU0oPp5CxG1a4Fgj6Roy,Seven Nines and Tens,4mnaiQJ0fhxs2jMuIJOG7z,Over Opiated In a Forest of Whispering Speakers,2022-01-07,275.3,spotify:track:0zagWhsB5HusIq4g4UeA9A,2517,0.00033,0.236,0.646,0.855,0.241,-7.007,0.0404,76.665,0.384
2MEVeSqIju2JRfz4BXv01m,Overseas,"0fYw4bch7qTxBZLS3rSVMj,6xS5PpBWaVYraexEkEjjXv,2mQLwfvZtvtTbipKn3xHmK,70gP6Ry4Uo0Yx6uzPIdaiJ,4mwdnO2jZrMmMVrjcHsZBv","Powers Pleasant,Maxo Kream,Erick the Architect,Bas,Kenny Mason",0FQrUADkPoq2VDC6NDWpR1,Overseas,2022-06-15,192.893,spotify:track:2MEVeSqIju2JRfz4BXv01m,2518,0.153,0.807,0.709,0.0,0.137,-5.598,0.304,152.136,0.529
7uy1wXlIw0IjGOS6wKlpGs,Black Phoenix,5SaDyTQkjAAdrsmhPzrmw2,Jorn,4CR7GpwpFdR0nuLeGbxk9A,Over the Horizon Radar,2022-06-17,272.72,spotify:track:7uy1wXlIw0IjGOS6wKlpGs,2519,0.000515,0.546,0.94,1.44e-05,0.367,-6.465,0.041,129.993,0.507
65iLsX6iV3ON0cOU5bzyYN,Overwhelming Power,36d1uVy1ZuZWqfnsPxCUOk,Left to Suffer,3klZ7YSDDoPjgDhQyux61s,Overwhelming Power,2022-02-25,247.2,spotify:track:65iLsX6iV3ON0cOU5bzyYN,2520,0.000801,0.39,0.979,0.00968,0.378,-3.089,0.3,149.699,0.0587
6RqT1YOVMVjDATyYKsBpaO,Ov My Herculean Exile,1MK0sGeyTNkbefYGj673e9,Behemoth,1493clTk13mwPDs9E4u6xi,Ov My Herculean Exile,2022-05-11,283.791,spotify:track:6RqT1YOVMVjDATyYKsBpaO,2521,1.94e-05,0.411,0.937,0.0245,0.153,-5.001,0.0571,110.972,0.225
