id,track_name,artist_id,artist_name,album_id,album_name,release_date,duration,uri,playlist_offset
4pbi40zXUCSQG3azxkag79,(NOT A) LOVE SONG,5o5dFyK0UODK3sYQp5ao8V,The Tyne,5ALQdJdsSKZikDNs6Br7VN,(NOT A) LOVE SONG,2023-01-19,167.04,spotify:track:4pbi40zXUCSQG3azxkag79,9543
1cyXnxJosubqPBIiL2Sf9K,T.T.S.P.,4yGs9CrVnCHJ96553ySxFb,One Step Closer,2rVmbhmUafv2fDfEpwJQgL,Songs for the Willow,2023-01-10,195.754,spotify:track:1cyXnxJosubqPBIiL2Sf9K,9544
0dwoX2gsjlRNa3rS40KFhQ,Screaming Suicide,2ye2Wgw4gimLv2eAKyk1NB,Metallica,2iEqcqpNG3zKBZAmiZzuDv,Screaming Suicide,2023-01-19,330.453,spotify:track:0dwoX2gsjlRNa3rS40KFhQ,9545
57xiGAaqGhEprnXYxBY7vh,Blight,07VQ3HAcfAC14FLhscq3hm,Red Cain,0WeSUtJ4SE8cooPhe77G72,Blight,2023-01-17,397.575,spotify:track:57xiGAaqGhEprnXYxBY7vh,9546
30A6Yrb6eBONwhb7RiyKBm,Niet Alleen de Avond Valt,6ljEjOYC641bBs13aGTEs8,Schavot,4ylPUuWSFYUl2rIdssT75F,Niet Alleen de Avond Valt,2023-01-13,364.319,spotify:track:30A6Yrb6eBONwhb7RiyKBm,9547
0o6PDM1GK8JQKItzMp4zi5,Ravenous,588LSViuxUlGIwSwDYKPrk,The Last Reign,7tJtc12bXKmAsRdLptnlyf,Sands of Fate,2023-01-20,243.599,spotify:track:0o6PDM1GK8JQKItzMp4zi5,9548
4Xf4WJ7bxj93BpCo3o3e1L,Maybae Baeby,5JLqvjW3Nyom2OsRUyFsS9,Xiu Xiu,2ebnQkdPZ9IxPny0kRFoIi,Maybae Baeby,2023-01-12,200.075,spotify:track:4Xf4WJ7bxj93BpCo3o3e1L,9549
0XJ0v5eYlEOcb8BbKVU6RZ,Armor of Glass,0p2hsTqmwRh6gBO87t9b1o,conductor.,4eadKrn7oWnCde3DJLzrcx,Armor of Glass,2023-01-16,196.327,spotify:track:0XJ0v5eYlEOcb8BbKVU6RZ,9550
4cwhDJiQ3vhbcxOapza2MB,Up Against It,2oVmQT6s29pVIKpqJkyxBS,Black Honey,5qpNqPxwizc4AKeVjAPPpD,Up Against It,2023-01-18,186.097,spotify:track:4cwhDJiQ3vhbcxOapza2MB,9551
7kwwtqDiItNzfY1GQSJT4q,Catapulted into Hyperspace,4cw5FUOFNMqdGehf7Os60Z,Nothingness,0AHz9CMWvMVxxKFTmmnUzE,Supraliminal,2023-01-20,277.28,spotify:track:7kwwtqDiItNzfY1GQSJT4q,9552
2W11Rmsf8i3cE0gAZSKpzT,Own Little World,4VgrEgRTnS2riAOkPtQgyZ,Frantic Endeavor,1MpxLZxdkI36mdhvHkl8SZ,Own Little World,2023-01-20,282.853,spotify:track:2W11Rmsf8i3cE0gAZSKpzT,9553
1epY9FCNXIN1ZGJjrztc1q,Destiny Undone,5n9t60g6HmOVnYz0DicIcT,Devil's Reef,0bL3IfefVJF7mHCjI6cpEg,Destiny Undone,2023-01-17,275.239,spotify:track:1epY9FCNXIN1ZGJjrztc1q,9554
1hKKdcIsxNNa2pfAcVnVCv,Instant Crush,5ho2IoSxmjGkX2eFOLY64T,Astrophysics,7sNxOLcGgeSCWlTDnoeblU,The First Sound of The Future Past,2023-01-06,356.219,spotify:track:1hKKdcIsxNNa2pfAcVnVCv,9555
1zvenvGohyknHnI2qDyIiV,At the Heart of Wintervale,0tO6ALWmduAbneXoHmnl2T,Twilight Force,2dzVI5sR1htGfqmVff6UcF,At the Heart of Wintervale,2023-01-20,290.773,spotify:track:1zvenvGohyknHnI2qDyIiV,9556
5l5B2UwA8Yp6kp1HwchSLx,Crossing Guard,7gdb1IQFHFQqCc5KoLTYNC,Model/Actriz,3kKS6RMfZJ8TMZJz8cTIxn,Crossing Guard,2023-01-17,284.88,spotify:track:5l5B2UwA8Yp6kp1HwchSLx,9557
3rSjnfSEYpmwzEixgThniU,Heaping Mass of Flesh,2FcSpIOHtwth7GsDpH11J8,Cannibal Abortion,2lrA5CXLq8Ap32W2gTOr4D,Promo 2023,2023-01-18,248.0,spotify:track:3rSjnfSEYpmwzEixgThniU,9558
0ZEdzNpGjOc3QPYTSWZTGY,Landmine Blast,5yjbUO1Jocui7RKE30zfLT,Riverside,06jE9Kq7KU3cfms3gUoICf,ID.Entity,2023-01-20,290.226,spotify:track:0ZEdzNpGjOc3QPYTSWZTGY,9559
65vXICeJ1H8y7sGdO0NYqt,The Sword of God,486Jpq4uL6GWW76E7gS0Rd,Mansion,5auogUQU2z2nhAKGZXbkJr,Second Death,2023-01-13,409.103,spotify:track:65vXICeJ1H8y7sGdO0NYqt,9560
2wLQUdtpTnSFsRYdF2Mr0t,Riding Out the Storm,1COfrboArH3tNjlhFsG5ys,Black Star Riders,0wEiowDT7fiRRXGt50lMHc,Wrong Side of Paradise,2023-01-20,231.303,spotify:track:2wLQUdtpTnSFsRYdF2Mr0t,9561
0vNu5t0o0R57Xy1e10d5zI,Brass Bell,3pZ666b6CyO1KGpVYirY0t,Screaming Females,6Q7cmkyTXxQO6FKIqrUFhv,Brass Bell,2023-01-17,263.973,spotify:track:0vNu5t0o0R57Xy1e10d5zI,9562
5ZEFKbBFVLITY50UrmozRi,Reminescenza,2rIxgiNLHExtlrGkjHeTxy,I Maiali,7f5S6aZmAgwlutZhbxsIxt,Reminescenza,2023-01-17,302.6,spotify:track:5ZEFKbBFVLITY50UrmozRi,9563
4GhNU06HR9fcxzy3kjUNvR,Шрами,6Cp7Edmrgw7XA8duPOFmtz,Blind8,6wPj7IwNP9JdSvDgowbrqY,Шрами,2023-01-19,206.259,spotify:track:4GhNU06HR9fcxzy3kjUNvR,9564
